日付,リアクション数,メッセージ数
2026-06-09,15,23
2026-06-10,13,13
2026-06-11,5,21
2026-06-12,13,20
2026-06-13,7,10
2026-06-14,5,8
2026-06-15,13,23
2026-06-16,9,19
2026-06-17,24,27
2026-06-18,13,21
2026-06-19,12,27
2026-06-20,3,4
2026-06-21,0,0
2026-06-22,9,19
2026-06-23,11,21
2026-06-24,10,24
2026-06-25,11,35
2026-06-26,15,20
2026-06-27,7,13
2026-06-28,0,2
2026-06-29,6,6
2026-06-30,4,14
2026-07-01,13,21
2026-07-02,9,22
2026-07-03,20,27
2026-07-04,7,16
2026-07-05,3,9
2026-07-06,7,15
2026-07-07,20,27
2026-07-08,0,7
